key,title,authors,year,date,venue,doi,arxiv_id,url,download_target,tags,inclusion,source,local_reference,retrieval_status,pdf_path,notes
longitudinal-targeted-minimum-loss-based-estimation-with-temporal-differ,Longitudinal Targeted Minimum Loss-based Estimation with Temporal-Difference Heterogeneous Transformer,Toru Shirakawa; Yi Li; Yulun Wu; Sky Qiu; Yuxuan Li; Mingduo Zhao; Hiroyasu Iso; Mark van der Laan,2024,2024-04-05,arXiv,,2404.04399,https://arxiv.org/abs/2404.04399,2404.04399,longitudinal; tmle; transformer; local-reference,Deep LTMLE with temporal-difference heterogeneous transformer.,arXiv API / curated query set,references/DeepLTMLE2024_docling.md,downloaded,downloads/arXiv 2404.04399.pdf,
deep-learning-for-causal-inference-a-comparison-of-architectures-for-het,Deep Learning for Causal Inference: A Comparison of Architectures for Heterogeneous Treatment Effect Estimation,Demetrios Papakostas; Andrew Herren; P. Richard Hahn; Francisco Castillo,2024,2024-05-06,arXiv,,2405.03130,https://arxiv.org/abs/2405.03130,2405.03130,survey; hte; architecture-comparison,Architecture comparison for deep HTE estimation.,arXiv API / curated query set,,downloaded,downloads/arXiv 2405.03130.pdf,
c-learner-constrained-learning-for-causal-inference,C-Learner: Constrained Learning for Causal Inference,Tiffany Tianhui Cai; Yuri Fonseca; Kaiwen Hou; Hongseok Namkoong,2024,2024-05-15,arXiv,,2405.09493,https://arxiv.org/abs/2405.09493,2405.09493,c-learner; constrained-learning; semiparametric; local-reference,Constrained learning for causal inference; includes neural instantiations.,arXiv API / curated query set,references/CLearner2025_docling.md,downloaded,downloads/arXiv 2405.09493.pdf,
revisiting-counterfactual-regression-through-the-lens-of-gromov-wasserst,Revisiting Counterfactual Regression through the Lens of Gromov-Wasserstein Information Bottleneck,Hao Yang; Zexu Sun; Hongteng Xu; Xu Chen,2024,2024-05-24,arXiv,,2405.15505,https://arxiv.org/abs/2405.15505,2405.15505,counterfactual-regression; information-bottleneck; wasserstein,Counterfactual regression revisited with Gromov-Wasserstein information bottleneck.,arXiv API / curated query set,,downloaded,downloads/arXiv 2405.15505.pdf,
causal-contrastive-learning-for-counterfactual-regression-over-time,Causal Contrastive Learning for Counterfactual Regression Over Time,Mouad El Bouchattaoui; Myriam Tami; Benoit Lepetit; Paul-Henry Cournède,2024,2024-06-01,arXiv,,2406.00535,https://arxiv.org/abs/2406.00535,2406.00535,longitudinal; contrastive-learning; counterfactual-regression,Contrastive learning for counterfactual regression over time.,arXiv API / curated query set,,downloaded,downloads/arXiv 2406.00535.pdf,
dna-se-towards-deep-neural-nets-assisted-semiparametric-estimation,DNA-SE: Towards Deep Neural-Nets Assisted Semiparametric Estimation,Qinshuo Liu; Zixin Wang; Xi-An Li; Xinyao Ji; Lei Zhang; Lin Liu; Zhonghua Liu,2024,2024-08-04,arXiv,,2408.02045,https://arxiv.org/abs/2408.02045,2408.02045,semiparametric; deep-inference; neural-networks; local-reference,Deep neural-nets assisted semiparametric estimation.,arXiv API / curated query set,references/DNASE2024_docling.md,downloaded,downloads/arXiv 2408.02045.pdf,
generalized-encouragement-based-instrumental-variables-for-counterfactua,Generalized Encouragement-Based Instrumental Variables for Counterfactual Regression,Anpeng Wu; Kun Kuang; Ruoxuan Xiong; Xiangwei Chen; Zexu Sun; Fei Wu; Kun Zhang,2024,2024-08-10,arXiv,,2408.05428,https://arxiv.org/abs/2408.05428,2408.05428,iv; encouragement; counterfactual-regression,Encouragement-based IV setup for counterfactual regression.,arXiv API / curated query set,,downloaded,downloads/arXiv 2408.05428.pdf,
deep-learning-for-the-estimation-of-heterogeneous-parameters-in-discrete,Deep Learning for the Estimation of Heterogeneous Parameters in Discrete Choice Models,Stephan Hetzenecker; Maximilian Osterhaus,2024,2024-08-18,arXiv,,2408.09560,https://arxiv.org/abs/2408.09560,2408.09560,heterogeneous-parameters; discrete-choice; local-reference,Deep learning for heterogeneous parameters in discrete choice.,arXiv API / curated query set,references/HO2024_multinomial_docling.md,downloaded,downloads/arXiv 2408.09560.pdf,
automatic-debiasing-of-neural-networks-via-moment-constrained-learning,Automatic debiasing of neural networks via moment-constrained learning,Christian L. Hines; Oliver J. Hines,2024,2024-09-29,arXiv,,2409.19777,https://arxiv.org/abs/2409.19777,2409.19777,auto-dml; moment-constrained-learning; neural-networks; local-reference,Moment-constrained neural debiasing for semiparametric targets.,arXiv API / curated query set,references/HH2025_docling.md,downloaded,downloads/arXiv 2409.19777.pdf,
individualized-treatment-rules-based-on-adaptive-transfer-dragonnet,Individualized treatment rules based on adaptive transfer-dragonnet,,2025,2025-01-01,Statistics and Computing,10.1007/s11222-025-10704-9,,https://doi.org/10.1007/s11222-025-10704-9,10.1007/s11222-025-10704-9,ite; dragonnet; transfer-learning,Adaptive transfer-Dragonnet treatment-rule paper found via Crossref.,Crossref API / curated query set,,missing,,
semiparametric-counterfactual-regression,Semiparametric Counterfactual Regression,Kwangho Kim,2025,2025-04-03,arXiv,,2504.02694,https://arxiv.org/abs/2504.02694,2504.02694,counterfactual-regression; semiparametric,Semiparametric counterfactual regression.,arXiv API / curated query set,,downloaded,downloads/arXiv 2504.02694.pdf,
semiparametric-m-estimation-with-overparameterized-neural-networks,Semiparametric M-estimation with overparameterized neural networks,Shunxing Yan; Ziyuan Chen; Fang Yao,2025,2025-04-27,arXiv,,2504.19089,https://arxiv.org/abs/2504.19089,2504.19089,semiparametric; overparameterized; neural-networks; local-reference,Semiparametric M-estimation with overparameterized neural networks.,arXiv API / curated query set,references/YCY2025_docling.md,downloaded,downloads/arXiv 2504.19089.pdf,
extended-fiducial-inference-for-individual-treatment-effects-via-deep-ne,Extended Fiducial Inference for Individual Treatment Effects via Deep Neural Networks,Sehwan Kim; Faming Liang,2025,2025-05-04,arXiv,,2505.01995,https://arxiv.org/abs/2505.01995,2505.01995,ite; fiducial-inference; neural-networks,Extended fiducial inference for ITE via DNNs.,arXiv API / curated query set,,downloaded,downloads/arXiv 2505.01995.pdf,
treatment-effect-estimation-in-survival-analysis-using-copula-based-deep,Treatment Effect Estimation in Survival Analysis Using Copula-Based Deep Learning Models for Causal Inference,,2025,2025-06-01,Axioms,10.3390/axioms14060458,,https://doi.org/10.3390/axioms14060458,10.3390/axioms14060458,survival; copula; deep-learning; causal-inference,Survival treatment-effect paper found via Crossref.,Crossref API / curated query set,,missing,,
orthogonality-constrained-deep-instrumental-variable-model-for-causal-ef,Orthogonality-Constrained Deep Instrumental Variable Model for Causal Effect Estimation,Shunxin Yao,2025,2025-06-03,arXiv,,2506.02790,https://arxiv.org/abs/2506.02790,2506.02790,iv; orthogonality; deepiv,Orthogonality-constrained deep IV model for causal effect estimation.,arXiv API / curated query set,,downloaded,downloads/arXiv 2506.02790.pdf,
targeted-deep-architectures-a-tmle-based-framework-for-robust-causal-inf,Targeted Deep Architectures: A TMLE-Based Framework for Robust Causal Inference in Neural Networks,Yi Li; David Mccoy; Nolan Gunter; Kaitlyn Lee; Alejandro Schuler; Mark van der Laan,2025,2025-07-16,arXiv,,2507.12435,https://arxiv.org/abs/2507.12435,2507.12435,tmle; targeted-deep-architecture; neural-networks; local-reference,TMLE-based targeted deep architectures.,arXiv API / curated query set,references/TDA2025_docling.md,downloaded,downloads/arXiv 2507.12435.pdf,
causalkans-interpretable-treatment-effect-estimation-with-kolmogorov-arn,CausalKANs: interpretable treatment effect estimation with Kolmogorov-Arnold networks,Alejandro Almodóvar; Patricia A. Apellániz; Santiago Zazo; Juan Parras,2025,2025-09-26,arXiv,,2509.22467,https://arxiv.org/abs/2509.22467,2509.22467,ite; kan; interpretable,Treatment-effect estimation with Kolmogorov-Arnold networks.,arXiv API / curated query set,,downloaded,downloads/arXiv 2509.22467.pdf,
gdr-learners-orthogonal-learning-of-generative-models-for-potential-outc,GDR-learners: Orthogonal Learning of Generative Models for Potential Outcomes,Valentyn Melnychuk; Stefan Feuerriegel,2025,2025-09-26,arXiv,,2509.22953,https://arxiv.org/abs/2509.22953,2509.22953,potential-outcomes; generative-model; orthogonal-learning; local-reference,Orthogonal learning of generative potential-outcome models.,arXiv API / curated query set,references/GDR2026_docling.md,downloaded,downloads/arXiv 2509.22953.pdf,
deep-learning-based-causal-inference-for-large-scale-combinatorial-exper,Deep Learning-Based Causal Inference for Large-Scale Combinatorial Experiments: Theory and Empirical Evidence,,2025,2025-10-15,Management Science,10.1287/mnsc.2024.04625,,https://doi.org/10.1287/mnsc.2024.04625,10.2139/ssrn.4375327,combinatorial-experiments; causal-inference; deep-learning; local-reference,Deep learning based causal inference for large-scale combinatorial experiments.,Crossref API / local reference,references/DeDL2025_docling.md,missing,,Published DOI is 10.1287/mnsc.2024.04625; SSRN DOI is used as the first public retrieval route.
individualized-treatment-effect-estimation-with-compromised-adversarial-,Individualized treatment effect estimation with compromised adversarial nets,,2026,2026-01-01,Computational Statistics,10.1007/s00180-025-01705-3,,https://doi.org/10.1007/s00180-025-01705-3,10.1007/s00180-025-01705-3,ite; adversarial; gan,Adversarial-net ITE paper found via Crossref.,Crossref API / curated query set,,missing,,Crossref returned publication year 2026; no precise date was available in the quick query.
estimating-heterogeneous-treatment-effects-with-survival-outcomes-via-a-,Estimating heterogeneous treatment effects with survival outcomes via a deep survival learner,Yuming Sun; Jian Kang; Yi Li,2026,2026-04-12,arXiv,,2604.10398,https://arxiv.org/abs/2604.10398,2604.10398,survival; hte; deep-survival,Deep survival learner for HTE with survival outcomes.,arXiv API / curated query set,,downloaded,downloads/arXiv 2604.10398.pdf,
causal-epinets-precision-corrected-bounds-on-individual-treatment-effect,Causal EpiNets: Precision-corrected Bounds on Individual Treatment Effects using Epistemic Neural Networks,Gandharv Patil; Keyi Tang; Raquel Aoki; Leo Guelman,2026,2026-05-08,arXiv,,2605.07065,https://arxiv.org/abs/2605.07065,2605.07065,ite; uncertainty; epistemic-neural-networks,Epistemic neural network bounds on ITE.,arXiv API / curated query set,,downloaded,downloads/arXiv 2605.07065.pdf,
balanced-twins-causal-inference-on-time-series-with-hidden-confounding,Balanced Twins: Causal Inference on Time Series with Hidden Confounding,Maha Ouali; Badih Ghattas; Emmanuel Flachaire; Philippe Charpentier; Laurent Bozzi,2026,2026-06-17,arXiv,,2606.18969,https://arxiv.org/abs/2606.18969,2606.18969,time-series; hidden-confounding; representation,Time-series causal inference with hidden confounding.,arXiv API / curated query set,,downloaded,downloads/arXiv 2606.18969.pdf,
